from,to,relation,phase,
yl,mlc,1,2,
go,yl,6,2,
go,mlc,3,2,
ssa,mlc,2,4,
ssa,go,2,4,
ssa,yl,2,4,
ssa,gs,2,4,
ssa,wa,2,4,
ssa,ka,2,4,
ssa,za,2,4,
yl,gs,5,1,
yl,ka,5,1,
yl,za,5,1,
yl,aw,5,1,
yl,nm,4,1,
yl,js,4,1,
yl,pe,4,1,
yl,cl,4,1,
yl,ao,4,1,
yl,aw,4,1,
yl,mb,4,1,
rr,yl,2,4,
dp,yl,4,1,
pn,yl,7,3,
usb,yl,7,3,
mp,yl,8,2,
go,mp,6,2,
dd,yl,7,3,
ao,sw,9,1,ab hier neu
bm,wa,7,3,
by,ad,7,3,
by,mp,7,3,
acm,yl,6,2,
hl,acm,6,2,
dt,hl,5,2,
hl,yl,6,2,
hd,yl,6,2,
am,hd,6,2,
yl,am,5,2,
am,yl,6,2,
aw,lv,4,1,
lv,yl,6,2,
aw,ftxv,4,2,
ar,yl,2,4,
ar,wa,2,4,
ar,gs,2,4,
ar,ka,2,4,
ar,za,2,4,
ar,nm,2,4,
ar,js,2,4,
ar,pe,2,4,
ar,cl,2,4,
ar,ao,2,4,
ar,aw,2,4,
ar,mb,2,4,
ar,ds,2,4,
ar,go,2,4,
ar,mw,2,4,
ar,mlc,2,4,
ar,jb,2,4,
ar,jf,2,4,
ar,ehd,2,4,
ar,ut,2,4,
ar,ph,2,4,
ar,gp,2,4,
ar,sw,2,4,
ar,pm,2,4,
ar,sd,2,4,
ar,kh,2,4,
ar,tc,2,4,
ar,sc,2,4,
ar,ft,2,4,
ar,tw,2,4,
ar,djk,2,4,
ar,ad,2,4,
ar,isw,2,4,
ar,mp,2,4,
at,yl,2,4,
at,wa,2,4,
at,gs,2,4,
at,ka,2,4,
at,za,2,4,
at,nm,2,4,
at,js,2,4,
at,pe,2,4,
at,cl,2,4,
at,ao,2,4,
at,aw,2,4,
at,mb,2,4,
at,ds,2,4,
at,go,2,4,
at,mw,2,4,
at,mlc,2,4,
at,jb,2,4,
at,jf,2,4,
at,ehd,2,4,
at,ut,2,4,
at,ph,2,4,
at,gp,2,4,
at,sw,2,4,
at,pm,2,4,
at,sd,2,4,
at,kh,2,4,
at,tc,2,4,
at,sc,2,4,
at,ft,2,4,
at,tw,2,4,
at,djk,2,4,
at,ad,2,4,
at,isw,2,4,
at,mp,2,4,
at,ssa,8,4,
ar,ssa,8,4,
at,aw,8,4,
aw,at,8,4,
vm,go,8,2,
go,ut,3,2,
ut,jf,8,2,
sb,jb,3,2,
sb,go,8,2,
go,pp,5,2,
ph,pp,6,2,
go,caa,8,2,
caa,jf,3,2,
caa,gp,3,2,
caa,mlc,3,2,
go,sv,4,2,
ak,sv,4,2,
caa,ak,3,2,
sv,mp,6,2,
ph,mp,6,2,
jb,mp,6,2,
sb,mp,6,2,
gp,mp,6,2,
pm,mp,6,2,
twp,mp,6,2,
sd,mp,6,2,
kh,mp,6,2,
ft,mp,6,2,
tw,mp,6,2,
caa,mp,6,2,
go,rhcp,3,2,
rhcp,mp,6,2,
go,rsm,8,2,
rsm,yl,8,2,
djk,isw,8,2,
djk,yl,10,2,
isw,yl,10,2,
aur,yl,1,2,
aur,djk,8,2,
aur,isw,8,2,
go,mvm,5,2,
mvm,sw,3,2,
sw,yl,1,2,
mvm,ao,3,2,
ao,yl,1,2,
sw,yl,10,2,
mvm,tw,3,2,
wa,yl,1,2,
gs,yl,1,2,
ka,yl,1,2,
za,yl,1,2,
nm,yl,1,2,
js,yl,1,2,
pe,yl,1,2,
cl,yl,1,2,
ao,yl,1,2,
aw,yl,1,2,
mb,yl,1,2,
ds,yl,1,2,
go,yl,1,2,
mw,yl,1,2,
mlc,yl,1,2,
jb,yl,1,2,
jf,yl,1,2,
ehd,yl,1,2,
ut,yl,1,2,
ph,yl,1,2,
gp,yl,1,2,
sw,yl,1,2,
pm,yl,1,2,
sd,yl,1,2,
kh,yl,1,2,
tc,yl,1,2,
sc,yl,1,2,
ft,yl,1,2,
tw,yl,1,2,
djk,yl,1,2,
ad,yl,1,2,
isw,yl,1,2,
mp,yl,1,2,
wa,yl,10,2,
gs,yl,10,2,
ka,yl,10,2,
za,yl,10,2,
nm,yl,10,2,
js,yl,10,2,
pe,yl,10,2,
cl,yl,10,2,
ao,yl,10,2,
aw,yl,10,2,
mb,yl,10,2,
ds,yl,10,2,
go,yl,10,2,
mw,yl,10,2,
mlc,yl,10,2,
jb,yl,10,2,
jf,yl,10,2,
ehd,yl,10,2,
ut,yl,10,2,
ph,yl,10,2,
gp,yl,10,2,
sw,yl,10,2,
pm,yl,10,2,
sd,yl,10,2,
kh,yl,10,2,
tc,yl,10,2,
sc,yl,10,2,
ft,yl,10,2,
tw,yl,10,2,
djk,yl,10,2,
ad,yl,10,2,
isw,yl,10,2,
mp,yl,10,2,
mc,yl,1,2,
sc,yl,1,2,
sa,yl,1,2,
ksi,yl,1,2,
sn,yl,1,2,
tc,yl,1,2,
ms,yl,1,2,
mm,yl,1,2,
rtk,yl,1,2,
jf,yl,1,2,
djk,yl,1,2,
ft,yl,1,2,
pm,yl,1,2,
tb,yl,1,2,
lb,yl,1,2,
mtb,yl,1,2,
mh,yl,1,2,
mv,yl,1,2,